Post_created_time,comment,comment_posted_time,commentor_ID,commentor,comment_hashtag,comment_mention,reply,replied_time,replyer,reply_hashtag,reply_mention,like_count
2019-07-01 01:46:38,오~~~~👏👏,2019-07-01_08-56-07,1635397054,kje114,[],[],-,-,-,[],[],1
2019-07-01 01:46:38,🙌오우,2019-07-01_07-17-29,13539037881,thecouragetobe55,[],[],-,-,-,[],[],1
2019-07-01 01:46:38,👏,2019-07-01_01-49-23,8238635892,withyou3542,[],[],@withyou3542 #지진안전_시설물_인증명패 #지진 #안전 #지진안전 #내진보강 #생활정보 #부동산 #건축 #건축주 #건축시공 #생활정보 #일상 #한국시설안전공단 #행안부 #행정안전부,2019-07-01_01-49-32,withyou3542,"['#지진안전_시설물_인증명패', '#지진', '#안전', '#지진안전', '#내진보강', '#생활정보', '#부동산', '#건축', '#건축주', '#건축시공', '#생활정보', '#일상', '#한국시설안전공단', '#행안부', '#행정안전부']",['@withyou3542'],0
2019-07-01 01:46:38,👏,2019-07-01_01-49-23,8238635892,withyou3542,[],[],@withyou3542 #지진안전_시설물_인증명패 #지진 #안전 #지진안전 #내진보강 #생활정보 #부동산 #건축 #건축주 #건축시공 #생활정보 #일상 #한국시설안전공단 #행안부 #행정안전부,2019-07-01_01-49-32,withyou3542,"['#지진안전_시설물_인증명패', '#지진', '#안전', '#지진안전', '#내진보강', '#생활정보', '#부동산', '#건축', '#건축주', '#건축시공', '#생활정보', '#일상', '#한국시설안전공단', '#행안부', '#행정안전부']",['@withyou3542'],0
2019-07-01 01:46:38,🙌오우,2019-07-01_07-17-29,13539037881,thecouragetobe55,[],[],-,-,-,[],[],1
2019-07-01 01:46:38,오~~~~👏👏,2019-07-01_08-56-07,1635397054,kje114,[],[],-,-,-,[],[],1
2019-07-01 01:56:20,❤❤❤,2019-07-01_02-20-42,5666078130,pwulan220,[],[],-,-,-,[],[],1
2019-07-01 01:56:20,@rismakenapasih,2019-07-01_10-42-06,3291227826,_rrrisma,[],['@rismakenapasih'],-,-,-,[],[],1
2019-07-01 01:56:20,I love you 9000 times @by_jinseok 💓💓💓💓,2019-07-01_11-59-28,1465350640,kevinynn,[],['@by_jinseok'],-,-,-,[],[],1
2019-07-01 01:56:20,💕💕💕,2019-07-01_03-12-24,1987908479,callistaadelia841,[],[],-,-,-,[],[],1
