Post_created_time,comment,comment_posted_time,commentor_ID,commentor,comment_hashtag,comment_mention,reply,replied_time,replyer,reply_hashtag,reply_mention,like_count
2019-08-02 06:05:48,항상 좋은 사이트 정보 감사합니다🙏,2019-08-02_11-03-42,1907285487,erinnn_kr,[],[],-,-,-,[],[],0
2019-08-02 13:31:45,일본으로 다 가버렸으면!!!!🤧,2019-08-02_13-42-35,761529107,also_m,[],[],@also_m 후 하고불어버리죠 ^^,2019-08-02_15-22-05,byuli_guesthouse,[],['@also_m'],0
2019-08-02 13:31:45,8월 언제쯤 별보기 좋나요~? 아님 9월요~,2019-08-03_03-53-44,6789710631,gallerythenature,[],[],@gallerythenature 하늘맑고..수증기없고. 달없는날이면 계절에 상관이 없습니다 ..여름별 가을겨울별 달라서 ..,2019-08-03_04-57-48,byuli_guesthouse,[],['@gallerythenature'],1
2019-08-02 18:48:52,#제8호태풍 #8호태풍 #태풍 #태풍프란시스코 #친추환영 #선팔맞팔 #좋아요,2019-08-02_18-49-39,10434940418,q_goldenratio,"['#제8호태풍', '#8호태풍', '#태풍', '#태풍프란시스코', '#친추환영', '#선팔맞팔', '#좋아요']",[],-,-,-,[],[],0
2019-08-03 04:57:14,아니요ㅋㅋ 같은맘이에요😁다 일본으로가길,2019-08-05_00-36-28,1326188840,zzqoo,[],[],@zzqoo 큰게 그리갈듯하네요,2019-08-05_07-01-41,byuli_guesthouse,[],['@zzqoo'],0
2019-08-03 04:57:14,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ거의 기상청 수준👍👍👍,2019-08-03_15-03-09,2859941556,j.autumn_n,[],[],@j.autumn_n 방나가님 안녕^^,2019-08-05_07-01-21,byuli_guesthouse,[],['@j.autumn_n'],0
2019-08-03 07:31:11,언니 모델사진은 경민이가 찍어주는거에요?👍👍,2019-08-04_09-50-04,1512973500,juyoung_seoly,[],[],@piano.bichon 4등신에 이중턱ㅋㅋㅋㅋㅋㅋㅋㅋ사진 멋지당~~,2019-08-04_11-06-28,juyoung_seoly,[],['@piano.bichon'],0
2019-08-03 07:31:11,언니 모델사진은 경민이가 찍어주는거에요?👍👍,2019-08-04_09-50-04,1512973500,juyoung_seoly,[],[],@juyoung_seoly 아니 ㅋㅋㅋ 현지가이드 붙였오~~~울 경민인 막 엽사이로 몸은 4등신에 이중턱나오게찍음 ㅡㅡ,2019-08-04_09-54-23,piano.bichon,[],['@juyoung_seoly'],1
2019-08-03 07:31:11,태풍 프란시스코 ㅋㅋㅋㅋㅋ태풍 전야제에요? 넘나 청명하고 맑은데? 애들 왠일로 적극 협조를👍👍 ㅋㅋ,2019-08-03_07-42-36,6011916354,bomin_silkflower,[],[],@bomin_silkflower 여기날씨 나닮았나봐 극과극 오락가락 ㅋㅋㅋ,2019-08-03_07-55-57,piano.bichon,[],['@bomin_silkflower'],0
2019-08-04 10:28:02,#폭염주의보 #덥다더워 #태풍지나가고 #비만조금내려주겠니 #태풍프란시스코,2019-08-04_10-32-48,3235789862,th_150407,"['#폭염주의보', '#덥다더워', '#태풍지나가고', '#비만조금내려주겠니', '#태풍프란시스코']",[],-,-,-,[],[],0
